"cluster","threshold","distance","on_edge","criterion"
"south",0.975,2.31078377012107,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,1.31452462540031,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.331398338928271,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.125828306641085,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.14304156359748,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.160254820553875,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.17746807751027,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.194681334466664,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.21189459142306,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.229107848379455,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.246321105335849,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,1.867643139879,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,3.28063653538891,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,1.59500192684817,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.0361815553586854,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.852380408824002,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,1.66857926228932,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,2.48477811575468,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,3.30097696922,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,4.11717582268531,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,4.93337467615063,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.77385698033113,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.28852453991223,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,4.29562846715764,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,3.30604787566482,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,1.89682082008127,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.34618573292641,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.30042439969558,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,2.56831693718135,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.08172580731194,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.06750821476118,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.78966586841726,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.67717898144212,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.66461184180815,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.65487365164696,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.64513546148577,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.63539727132459,FALSE,"High-evidence zone (P >= 0.975)"
